,kraj-druh-R-M,id_kraj,rok,mesic,druh,cena,fdbi70,fdbi85,fdbi100,pdb,kraj,byt,datum
0,1001-113-2009-1,1001,2009,1,113,2514792.012,48.2,48.9,50.9,5.78,Praha,1+1,2009-01-01 00:00:00
1,1003-113-2009-1,1003,2009,1,113,1380627.64,34.0,34.5,35.9,4.07,Jihočeský,1+1,2009-01-01 00:00:00
2,1004-113-2009-1,1004,2009,1,113,1136223.967,28.8,29.3,30.5,3.46,Pardubický,1+1,2009-01-01 00:00:00
3,1005-113-2009-1,1005,2009,1,113,1060558.557,26.0,26.4,27.5,3.12,Královéhradecký,1+1,2009-01-01 00:00:00
4,1006-113-2009-1,1006,2009,1,113,960609.0935,23.0,23.3,24.3,2.75,Vysočina,1+1,2009-01-01 00:00:00
5,1007-113-2009-1,1007,2009,1,113,1003873.872,26.2,26.6,27.6,3.14,Karlovarský,1+1,2009-01-01 00:00:00
6,1008-113-2009-1,1008,2009,1,113,954343.7106,24.0,24.4,25.4,2.88,Liberecký,1+1,2009-01-01 00:00:00
7,1010-113-2009-1,1010,2009,1,113,1269230.0,31.4,31.8,33.2,3.76,Plzeňský,1+1,2009-01-01 00:00:00
8,1011-113-2009-1,1011,2009,1,113,1363325.323,32.2,32.6,34.0,3.85,Středočeský,1+1,2009-01-01 00:00:00
9,1013-113-2009-1,1013,2009,1,113,566441.082,15.7,15.9,16.6,1.88,Ústecký,1+1,2009-01-01 00:00:00
10,2002-113-2009-1,2002,2009,1,113,1310683.82,35.4,36.0,37.4,4.25,Jihomoravský,1+1,2009-01-01 00:00:00
11,2009-113-2009-1,2009,2009,1,113,1108545.447,30.8,31.3,32.6,3.7,Olomoucký,1+1,2009-01-01 00:00:00
12,2012-113-2009-1,2012,2009,1,113,820190.7603,23.4,23.7,24.7,2.8,Moravskoslezský,1+1,2009-01-01 00:00:00
13,2014-113-2009-1,2014,2009,1,113,1056141.486,28.2,28.7,29.8,3.38,Zlínský,1+1,2009-01-01 00:00:00
14,1001-123-2009-1,1001,2009,1,123,3883155.1560000004,86.3,87.6,91.2,10.35,Praha,2+1,2009-01-01 00:00:00
15,1003-123-2009-1,1003,2009,1,123,1436725.486,37.9,38.5,40.0,4.54,Jihočeský,2+1,2009-01-01 00:00:00
16,1004-123-2009-1,1004,2009,1,123,1495361.165,40.5,41.1,42.8,4.86,Pardubický,2+1,2009-01-01 00:00:00
17,1005-123-2009-1,1005,2009,1,123,1567632.799,42.6,43.2,45.0,5.1,Královéhradecký,2+1,2009-01-01 00:00:00
18,1006-123-2009-1,1006,2009,1,123,1236913.014,31.9,32.4,33.7,3.83,Vysočina,2+1,2009-01-01 00:00:00
19,1007-123-2009-1,1007,2009,1,123,1352458.236,38.3,38.8,40.4,4.59,Karlovarský,2+1,2009-01-01 00:00:00
20,1008-123-2009-1,1008,2009,1,123,1341871.495,36.7,37.3,38.8,4.4,Liberecký,2+1,2009-01-01 00:00:00
21,1010-123-2009-1,1010,2009,1,123,1798578.0,45.9,46.6,48.5,5.5,Plzeňský,2+1,2009-01-01 00:00:00
22,1011-123-2009-1,1011,2009,1,123,1821205.706,43.0,43.6,45.4,5.15,Středočeský,2+1,2009-01-01 00:00:00
23,1013-123-2009-1,1013,2009,1,123,778606.5742,21.5,21.9,22.8,2.58,Ústecký,2+1,2009-01-01 00:00:00
24,2002-123-2009-1,2002,2009,1,123,1875943.476,50.7,51.5,53.6,6.08,Jihomoravský,2+1,2009-01-01 00:00:00
25,2009-123-2009-1,2009,2009,1,123,1392659.356,38.7,39.3,40.9,4.64,Olomoucký,2+1,2009-01-01 00:00:00
26,2012-123-2009-1,2012,2009,1,123,1129037.092,32.2,32.6,34.0,3.85,Moravskoslezský,2+1,2009-01-01 00:00:00
27,2014-123-2009-1,2014,2009,1,123,1433623.9440000001,38.3,38.9,40.5,4.6,Zlínský,2+1,2009-01-01 00:00:00
28,1001-126-2009-1,1001,2009,1,126,4949959.84,110.0,111.6,116.2,13.2,Praha,3+1,2009-01-01 00:00:00
29,1003-126-2009-1,1003,2009,1,126,1597057.574,42.1,42.7,44.5,5.05,Jihočeský,3+1,2009-01-01 00:00:00
30,1004-126-2009-1,1004,2009,1,126,1792072.646,48.6,49.3,51.3,5.82,Pardubický,3+1,2009-01-01 00:00:00
31,1005-126-2009-1,1005,2009,1,126,1913809.6819999998,52.0,52.7,54.9,6.23,Královéhradecký,3+1,2009-01-01 00:00:00
32,1006-126-2009-1,1006,2009,1,126,1489899.5769999998,38.5,39.0,40.6,4.61,Vysočina,3+1,2009-01-01 00:00:00
33,1007-126-2009-1,1007,2009,1,126,1893968.48,53.6,54.4,56.6,6.43,Karlovarský,3+1,2009-01-01 00:00:00
34,1008-126-2009-1,1008,2009,1,126,1453954.792,39.8,40.4,42.1,4.77,Liberecký,3+1,2009-01-01 00:00:00
35,1010-126-2009-1,1010,2009,1,126,2375844.0,60.6,61.5,64.1,7.27,Plzeňský,3+1,2009-01-01 00:00:00
36,1011-126-2009-1,1011,2009,1,126,2361383.615,55.7,56.5,58.8,6.68,Středočeský,3+1,2009-01-01 00:00:00
37,1013-126-2009-1,1013,2009,1,126,959903.2759,26.6,27.0,28.1,3.18,Ústecký,3+1,2009-01-01 00:00:00
38,2002-126-2009-1,2002,2009,1,126,2371782.012,64.1,65.1,67.7,7.69,Jihomoravský,3+1,2009-01-01 00:00:00
39,2009-126-2009-1,2009,2009,1,126,1719087.209,47.8,48.5,50.5,5.73,Olomoucký,3+1,2009-01-01 00:00:00
40,2012-126-2009-1,2012,2009,1,126,1395973.115,39.8,40.3,42.0,4.77,Moravskoslezský,3+1,2009-01-01 00:00:00
41,2014-126-2009-1,2014,2009,1,126,1716818.844,45.9,46.6,48.5,5.5,Zlínský,3+1,2009-01-01 00:00:00
42,1001-133-2009-1,1001,2009,1,133,7508657.188999999,166.9,169.3,176.3,20.02,Praha,4+1,2009-01-01 00:00:00
43,1003-133-2009-1,1003,2009,1,133,1951940.003,51.5,52.2,54.4,6.17,Jihočeský,4+1,2009-01-01 00:00:00
44,1004-133-2009-1,1004,2009,1,133,2854865.0,77.4,78.5,81.7,9.28,Pardubický,4+1,2009-01-01 00:00:00
45,1005-133-2009-1,1005,2009,1,133,2460181.616,66.8,67.8,70.6,8.01,Královéhradecký,4+1,2009-01-01 00:00:00
46,1006-133-2009-1,1006,2009,1,133,,,,,,Vysočina,4+1,2009-01-01 00:00:00
47,1007-133-2009-1,1007,2009,1,133,2726154.8619999997,77.2,78.3,81.5,9.26,Karlovarský,4+1,2009-01-01 00:00:00
48,1008-133-2009-1,1008,2009,1,133,1879674.138,51.5,52.2,54.4,6.17,Liberecký,4+1,2009-01-01 00:00:00
49,1010-133-2009-1,1010,2009,1,133,2082467.361,53.1,53.9,56.1,6.37,Plzeňský,4+1,2009-01-01 00:00:00
50,1011-133-2009-1,1011,2009,1,133,3214623.753,75.8,76.9,80.1,9.09,Středočeský,4+1,2009-01-01 00:00:00
51,1013-133-2009-1,1013,2009,1,133,1284728.377,35.6,36.1,37.6,4.26,Ústecký,4+1,2009-01-01 00:00:00
