kraj_index,byt_index,datum,cena,pdb,fdbi70,fdbi85,fdbi100
0,0,2009-01-01,2514792,5.78,0.48,0.49,0.51
1,0,2009-01-01,1380627,4.07,0.34,0.34,0.36
2,0,2009-01-01,1136223,3.46,0.29,0.29,0.30
3,0,2009-01-01,1060558,3.12,0.26,0.26,0.28
4,0,2009-01-01,960609,2.75,0.23,0.23,0.24
5,0,2009-01-01,1003873,3.14,0.26,0.27,0.28
6,0,2009-01-01,954343,2.88,0.24,0.24,0.25
7,0,2009-01-01,1269230,3.76,0.31,0.32,0.33
8,0,2009-01-01,1363325,3.85,0.32,0.33,0.34
9,0,2009-01-01,566441,1.88,0.16,0.16,0.17
10,0,2009-01-01,1310683,4.25,0.35,0.36,0.37
11,0,2009-01-01,1108545,3.70,0.31,0.31,0.33
12,0,2009-01-01,820190,2.80,0.23,0.24,0.25
13,0,2009-01-01,1056141,3.38,0.28,0.29,0.30
0,1,2009-01-01,3883155,10.35,0.86,0.88,0.91
1,1,2009-01-01,1436725,4.54,0.38,0.39,0.40
2,1,2009-01-01,1495361,4.86,0.41,0.41,0.43
3,1,2009-01-01,1567632,5.10,0.43,0.43,0.45
4,1,2009-01-01,1236913,3.83,0.32,0.32,0.34
5,1,2009-01-01,1352458,4.59,0.38,0.39,0.40
6,1,2009-01-01,1341871,4.40,0.37,0.37,0.39
7,1,2009-01-01,1798578,5.50,0.46,0.47,0.48
8,1,2009-01-01,1821205,5.15,0.43,0.44,0.45
9,1,2009-01-01,778606,2.58,0.21,0.22,0.23
10,1,2009-01-01,1875943,6.08,0.51,0.52,0.54
11,1,2009-01-01,1392659,4.64,0.39,0.39,0.41
12,1,2009-01-01,1129037,3.85,0.32,0.33,0.34
13,1,2009-01-01,1433623,4.60,0.38,0.39,0.41
0,2,2009-01-01,4949959,13.20,1.10,1.12,1.16
1,2,2009-01-01,1597057,5.05,0.42,0.43,0.45
2,2,2009-01-01,1792072,5.82,0.49,0.49,0.51
3,2,2009-01-01,1913809,6.23,0.52,0.53,0.55
4,2,2009-01-01,1489899,4.61,0.39,0.39,0.41
5,2,2009-01-01,1893968,6.43,0.54,0.54,0.57
6,2,2009-01-01,1453954,4.77,0.40,0.40,0.42
7,2,2009-01-01,2375844,7.27,0.61,0.61,0.64
8,2,2009-01-01,2361383,6.68,0.56,0.56,0.59
9,2,2009-01-01,959903,3.18,0.27,0.27,0.28
10,2,2009-01-01,2371782,7.69,0.64,0.65,0.68
11,2,2009-01-01,1719087,5.73,0.48,0.48,0.51
12,2,2009-01-01,1395973,4.77,0.40,0.40,0.42
13,2,2009-01-01,1716818,5.50,0.46,0.47,0.48
0,3,2009-01-01,7508657,20.02,1.67,1.69,1.76
1,3,2009-01-01,1951940,6.17,0.52,0.52,0.54
2,3,2009-01-01,2854865,9.28,0.77,0.79,0.82
3,3,2009-01-01,2460181,8.01,0.67,0.68,0.71
5,3,2009-01-01,2726154,9.26,0.77,0.78,0.81
6,3,2009-01-01,1879674,6.17,0.52,0.52,0.54
7,3,2009-01-01,2082467,6.37,0.53,0.54,0.56
8,3,2009-01-01,3214623,9.09,0.76,0.77,0.80
9,3,2009-01-01,1284728,4.26,0.36,0.36,0.38
10,3,2009-01-01,3068030,9.95,0.83,0.84,0.88
11,3,2009-01-01,2200452,7.34,0.61,0.62,0.65
12,3,2009-01-01,1770110,6.05,0.50,0.51,0.53
13,3,2009-01-01,2239605,7.18,0.60,0.61,0.63
14,0,2009-01-01,1231304,3.56,0.30,0.30,0.31
14,1,2009-01-01,1612539,4.67,0.39,0.40,0.41
14,2,2009-01-01,1986344,5.75,0.48,0.49,0.51
14,3,2009-01-01,2708991,7.84,0.65,0.66,0.69
0,4,2009-01-01,4357139,11.62,0.97,0.98,1.02
1,4,2009-01-01,1566946,4.95,0.41,0.42,0.44
2,4,2009-01-01,1630827,5.30,0.44,0.45,0.47
3,4,2009-01-01,1674446,5.45,0.46,0.46,0.48
4,4,2009-01-01,1347983,4.17,0.35,0.35,0.37
5,4,2009-01-01,1608480,5.46,0.46,0.46,0.48
6,4,2009-01-01,1367813,4.49,0.37,0.38,0.40
7,4,2009-01-01,1755982,5.37,0.45,0.46,0.47
8,4,2009-01-01,2063403,5.84,0.49,0.49,0.51
9,4,2009-01-01,879799,2.92,0.24,0.25,0.26
10,4,2009-01-01,2119614,6.87,0.57,0.58,0.60
11,4,2009-01-01,1568881,5.23,0.44,0.44,0.46
12,4,2009-01-01,1257954,4.29,0.36,0.36,0.38
13,4,2009-01-01,1560945,5.00,0.42,0.42,0.44
14,4,2009-01-01,2111441,6.11,0.51,0.52,0.54
0,0,2009-02-01,2561745,6.74,0.56,0.57,0.60
1,0,2009-02-01,1330586,4.18,0.35,0.35,0.37
2,0,2009-02-01,1141754,3.69,0.31,0.31,0.33
3,0,2009-02-01,1145876,3.70,0.31,0.31,0.33
4,0,2009-02-01,862078,2.65,0.22,0.23,0.23
5,0,2009-02-01,959386,3.23,0.27,0.27,0.29
6,0,2009-02-01,927359,3.02,0.25,0.26,0.27
7,0,2009-02-01,1315960,4.01,0.34,0.34,0.36
8,0,2009-02-01,1324254,3.70,0.31,0.31,0.33
