ID,jmeno,Y,X,okres,kraj,plocha bytu (m2),poloha bytu,velikostni kategorie,technologie vystavby,stari,technologicky stav,najemne_min (kc/m2/mesic),najemne_max (kc/m2/mesic),najemne_byt_min (kc/byt/mesic),najemne_byt_max (kc/byt/mesic),Datum aktualizace
535427,Bakov nad Jizerou,50.482301,14.941485,Mladá Boleslav,Středočeský kraj,65,bez rozlišení,středně velké byty (40 až 70 včetně),zděná stavba,stavba ve standardním technickém stavu,byty ve standardním technickém stavu,104.7,128,6805.5,8320,MMR 2011
535672,Dobrovice,50.369322,14.962329,Mladá Boleslav,Středočeský kraj,65,bez rozlišení,středně velké byty (40 až 70 včetně),zděná stavba,stavba ve standardním technickém stavu,byty ve standardním technickém stavu,99.3,121.4,6454.5,7891,MMR 2011
550442,Netolice,49.049304,14.196991,Prachatice,Jihočeský kraj,65,bez rozlišení,středně velké byty (40 až 70 včetně),panelová stavba,stavba ve standardním technickém stavu,byty ve standardním technickém stavu,51.7,63.1,3360.5,4101.5,MMR 2011
546798,Nová Bystřice,49.019259,15.103146,Jindřichův Hradec,Jihočeský kraj,65,bez rozlišení,středně velké byty (40 až 70 včetně),jiná stavba,stavba ve standardním technickém stavu,byty ve standardním technickém stavu,56.6,69.1,3679,4491.5,MMR 2011
546801,Nová Včelnice,49.239351,15.072594,Jindřichův Hradec,Jihočeský kraj,65,bez rozlišení,středně velké byty (40 až 70 včetně),panelová stavba,stavba ve standardním technickém stavu,byty ve standardním technickém stavu,53.5,65.4,3477.5,4251,MMR 2011
544868,Nové Hrady,48.78963,14.778371,České Budějovice,Jihočeský kraj,65,bez rozlišení,středně velké byty (40 až 70 včetně),zděná stavba,stavba ve standardním technickém stavu,byty ve standardním technickém stavu,64.4,78.8,4186,5122,MMR 2011
549240,Písek,49.3088,14.147499,Písek,Jihočeský kraj,65,běžná poloha,středně velké byty (40 až 70 včetně),panelová stavba,stavba ve standardním technickém stavu,byty ve standardním technickém stavu,64.8,71.6,4212,4654,MMR 2011
552828,Planá nad Lužnicí,49.35444,14.701466,Tábor,Jihočeský kraj,65,bez rozlišení,středně velké byty (40 až 70 včetně),panelová stavba,stavba ve standardním technickém stavu,byty ve standardním technickém stavu,57.1,69.8,3711.5,4537,MMR 2011
550094,Prachatice,49.012928,13.997519,Prachatice,Jihočeský kraj,65,běžná poloha,středně velké byty (40 až 70 včetně),panelová stavba,stavba ve standardním technickém stavu,byty ve standardním technickém stavu,60.9,67.3,3958.5,4374.5,MMR 2011
549771,Protivín,49.19949,14.21717,Písek,Jihočeský kraj,65,bez rozlišení,středně velké byty (40 až 70 včetně),zděná stavba,stavba ve standardním technickém stavu,byty ve standardním technickém stavu,53.6,65.5,3484,4257.5,MMR 2011
544981,Rudolfov,48.993395,14.541778,České Budějovice,Jihočeský kraj,65,bez rozlišení,středně velké byty (40 až 70 včetně),zděná stavba,stavba ve standardním technickém stavu,byty ve standardním technickém stavu,74.9,91.6,4868.5,5954,MMR 2011
553069,Sezimovo Ústí,49.385189,14.684798,Tábor,Jihočeský kraj,65,bez rozlišení,středně velké byty (40 až 70 včetně),zděná stavba,stavba ve standardním technickém stavu,byty ve standardním technickém stavu,69,79.4,4485,5161,MMR 2011
539198,Dobřichovice,49.927493,14.274696,Praha-západ,Středočeský kraj,65,bez rozlišení,středně velké byty (40 až 70 včetně),zděná stavba,stavba ve standardním technickém stavu,byty ve standardním technickém stavu,102.4,125.1,6656,8131.5,MMR 2011
547166,Slavonice,48.997532,15.351529,Jindřichův Hradec,Jihočeský kraj,65,bez rozlišení,středně velké byty (40 až 70 včetně),panelová stavba,stavba ve standardním technickém stavu,byty ve standardním technickém stavu,48.2,59,3133,3835,MMR 2011
